Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	negative regulation of cysteine-type endopeptidase activity (GO:2000117)	6/72	6.877863500498356e-05	0.031907034039130096	0	0	8.635578583765112	82.76871674412833	CDKN2D;GPX1;THBS1;MT3;CD44;SNCA
GO_Biological_Process_2018	regulated exocytosis (GO:0045055)	8/148	9.684818755325811e-05	0.041184691757023016	0	0	5.601456378658451	51.770709324987784	SPARC;ACTN1;SERPINE1;CD9;TAGLN2;TIMP1;THBS1;TUBA4A
GO_Biological_Process_2018	positive regulation of receptor recycling (GO:0001921)	3/10	0.0001009992037425212	0.0396460720536989	0	0	31.088082901554397	286.02273341631616	ANXA2;INPP5F;SNCA
GO_Biological_Process_2018	regulation of plasminogen activation (GO:0010755)	3/10	0.0001009992037425212	0.03681420976414899	0	0	31.088082901554397	286.02273341631616	SERPINE1;ENO1;THBS1
GO_Biological_Process_2018	regulation of DNA binding (GO:0051101)	5/52	0.00014292056520629992	0.048621576283183233	0	0	9.964129135113593	88.2146429863776	ID2;ID1;PLAUR;HMGA2;ID3
GO_Biological_Process_2018	positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4/28	0.00014355056965774667	0.04578365981021759	0	0	14.803849000740195	130.99664223608264	TNFRSF12A;CAV1;G0S2;THBS1
GO_Biological_Process_2018	negative regulation of cell migration (GO:0030336)	7/121	0.00017463371162268503	0.05242093120062128	0	0	5.994947116002227	51.87319742919453	NDRG4;JAG1;SERPINE1;ARHGDIB;TPM1;HMOX1;TIMP1
GO_Biological_Process_2018	regulation of cell migration involved in sprouting angiogenesis (GO:0090049)	4/30	0.0001892626120058091	0.05365595050364688	0	0	13.816925734024176	118.44386909607702	ANXA1;RHOJ;HMOX1;THBS1
GO_Biological_Process_2018	negative regulation of endothelial cell proliferation (GO:0001937)	4/30	0.0001892626120058091	0.050831953108718096	0	0	13.816925734024176	118.44386909607702	SPARC;CAV2;CAV1;THBS1
GO_Biological_Process_2018	negative regulation of secretion by cell (GO:1903531)	4/30	0.0001892626120058091	0.04829035545328219	0	0	13.816925734024176	118.44386909607702	SYT4;ANXA1;SYT11;SNCA
GO_Biological_Process_2018	regulation of blood coagulation (GO:0030193)	4/30	0.0001892626120058091	0.045990814717411614	0	0	13.816925734024176	118.44386909607702	CAV1;SERPINE1;TFPI;THBS1
GO_Biological_Process_2018	vesicle organization (GO:0016050)	7/127	0.00023544837968338066	0.054613321887467786	0	0	5.711721268002122	47.71582721357258	SYT4;SNAP25;ANXA2;CAV2;SYT11;CAV1;SNX10
GO_Biological_Process_2018	regulation of cell cycle (GO:0051726)	9/215	0.00024960733971744563	0.05538027193817935	0	0	4.3378720327750315	35.98534456866554	BEX2;ID2;ID1;CKS2;ID3;BIRC5;HMGA2;SOX9;GADD45G
GO_Biological_Process_2018	regulation of extrinsic apoptotic signaling pathway (GO:2001236)	5/59	0.00026069913348763444	0.055431153257808265	0	0	8.781944322472995	72.46986529218881	LGALS3;TNFRSF12A;CAV1;G0S2;THBS1
GO_Biological_Process_2018	positive regulation of cellular metabolic process (GO:0031325)	6/92	0.0002676749805891496	0.054637817037857216	0	0	6.758278891642262	55.591825224846325	PRELID1;ANXA2;INPP5F;THBS1;MT3;SNCA
GO_Biological_Process_2018	negative regulation of neurogenesis (GO:0050768)	4/33	0.0002762858900852222	0.0542264191194188	0	0	12.560841576385616	102.92447033707649	ID2;ID1;ID3;ASCL1
GO_Biological_Process_2018	regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	6/93	0.00028386870707216595	0.05365118563663937	0	0	6.685609226140731	54.601362030672796	CDKN2D;GPX1;THBS1;MT3;CD44;SNCA
GO_Biological_Process_2018	negative regulation of smooth muscle cell migration (GO:0014912)	3/14	0.00029775914986752115	0.05426660506335572	0	0	22.205773501110286	180.29368512584824	NDRG4;SERPINE1;TPM1
GO_Biological_Process_2018	negative regulation of DNA binding (GO:0043392)	4/34	0.0003107761004497541	0.05468587726189982	0	0	12.191405059433098	98.46312513632809	ID2;ID1;HMGA2;ID3
GO_Biological_Process_2018	regulation of wound healing (GO:0061041)	4/34	0.0003107761004497541	0.05286301468650316	0	0	12.191405059433098	98.46312513632809	ANXA1;TNFRSF12A;CAV1;SERPINE1
GO_Biological_Process_2018	epithelial cell differentiation (GO:0030855)	6/96	0.0003371058738632149	0.05549197659109631	0	0	6.476683937823834	51.78182325897297	LGALS3;MAF;JAG1;ANXA4;TAGLN2;ASCL1
GO_Biological_Process_2018	positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	3/15	0.00036956013346945517	0.05893329253420718	0	0	20.72538860103627	163.79683083946222	DKC1;RUVBL2;NHP2
GO_Biological_Process_2018	negative regulation of protein processing (GO:0010955)	3/15	0.00036956013346945517	0.05714743518468575	0	0	20.72538860103627	163.79683083946222	SERPINE1;GAS1;THBS1
GO_Biological_Process_2018	positive regulation of signaling (GO:0023056)	4/36	0.00038884080465764466	0.05836043018141063	0	0	11.514104778353481	90.4126717401697	INPP5F;ANXA2;WLS;SNCA
GO_Biological_Process_2018	negative regulation of apoptotic signaling pathway (GO:2001234)	5/65	0.0004105059689616778	0.059851770274612616	0	0	7.971303308090872	62.1611804580866	LGALS3;PRELID1;GPX1;PLAUR;THBS1
GO_Biological_Process_2018	positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	3/16	0.0004516198904773994	0.06401711947517137	0	0	19.4300518134715	149.6632710272084	ANXA1;RHOJ;HMOX1
GO_Biological_Process_2018	positive regulation of angiogenesis (GO:0045766)	6/103	0.000491812784716139	0.06783028757855289	0	0	6.0365209517581375	45.98266974852223	HSPB6;ANXA3;SERPINE1;HMOX1;HMGA2;THBS1
GO_Biological_Process_2018	receptor-mediated endocytosis (GO:0006898)	8/188	0.0004937163242476418	0.06630090533251885	0	0	4.4096571491566525	33.5731427544057	SPARC;TFRC;INPP5F;CAV2;CAV1;AP1S1;CD9;SNCA
GO_Biological_Process_2018	positive regulation of vasculature development (GO:1904018)	6/104	0.0005177963483606575	0.06775166065857527	0	0	5.978477481068156	45.23273341704685	HSPB6;ANXA3;SERPINE1;HMOX1;HMGA2;THBS1
GO_Biological_Process_2018	maturation of 5.8S rRNA (GO:0000460)	3/17	0.0005445109325918062	0.06946598222539965	0	0	18.28710758914965	137.438997943998	EIF6;RRP15;FTSJ3
GO_Biological_Process_2018	regulation of receptor recycling (GO:0001919)	3/17	0.0005445109325918062	0.06777168997599968	0	0	18.28710758914965	137.438997943998	ANXA2;INPP5F;SNCA
GO_Biological_Process_2018	regulation of release of cytochrome c from mitochondria (GO:0090199)	4/40	0.0005854105765535456	0.07112738505125579	0	0	10.362694300518132	77.13157633828651	MLLT11;PRELID1;GPX1;PLAUR
GO_Biological_Process_2018	regulation of telomerase RNA localization to Cajal body (GO:1904872)	3/18	0.0006487865819531524	0.07699437041178922	0	0	17.271157167530223	126.77731842326159	DKC1;RUVBL2;NHP2
GO_Biological_Process_2018	positive regulation of apoptotic signaling pathway (GO:2001235)	5/76	0.0008430061364855133	0.09776955260194486	0	0	6.817562039814562	48.25836051708935	MLLT11;TNFRSF12A;CAV1;PLAUR;G0S2
GO_Biological_Process_2018	negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	5/76	0.0008430061364855133	0.0955968958774572	0	0	6.817562039814562	48.25836051708935	LGALS3;GPX1;SERPINE1;HMOX1;THBS1
GO_Biological_Process_2018	regulation of smooth muscle cell proliferation (GO:0048660)	4/44	0.0008438449413394681	0.09361175512294144	0	0	9.420631182289213	66.67491096598003	NDRG4;ID2;HMOX1;THBS1
GO_Biological_Process_2018	cellular response to oxidative stress (GO:0034599)	6/115	0.0008799406945854398	0.0955390928610532	0	0	5.406623113313809	38.039140591734416	GPX1;TPM1;GPX8;HMOX1;MT3;SNCA
GO_Biological_Process_2018	cell projection assembly (GO:0030031)	3/20	0.0008936113232019101	0.0950020537979031	0	0	15.544041450777199	109.12289594061244	NCKAP1;RHOJ;RHOBTB3
GO_Biological_Process_2018	positive regulation of blood vessel endothelial cell migration (GO:0043536)	4/45	0.0009192490374613868	0.09573322118705012	0	0	9.211283822682788	64.40486802417658	ANXA1;RHOJ;HMOX1;THBS1
GO_Biological_Process_2018	positive regulation of translation (GO:0045727)	5/78	0.000948474086445226	0.09680126526259976	0	0	6.642752756742393	46.237917427436074	EIF5A;MRPS27;EIF6;VIM;THBS1
GO_Biological_Process_2018	endocytosis (GO:0006897)	9/263	0.0010648852841053439	0.10655116872136412	0	0	3.546169152268563	24.27313138584172	SPARC;ANXA1;ANXA3;CAV1;RHOJ;DNER;RHOBTB3;AP1S1;SNX10
GO_Biological_Process_2018	regulation of mitotic cell cycle (GO:0007346)	7/165	0.0011265027803917375	0.11054891708344304	0	0	4.396294551734966	29.84484930726088	CAV2;EIF4EBP1;CKS2;TACC3;BIRC5;GAS1;MAD2L1
GO_Biological_Process_2018	negative regulation of binding (GO:0051100)	5/82	0.0011884540488915538	0.1144279436130868	0	0	6.318716036901301	42.557196606996854	CAV1;ID2;ID1;HMGA2;ID3
GO_Biological_Process_2018	rRNA modification (GO:0000154)	3/22	0.0011901512306701743	0.1124692912983315	0	0	14.130946773433818	95.1532015356073	DKC1;NHP2;FTSJ3
GO_Biological_Process_2018	regulation of reactive oxygen species metabolic process (GO:2000377)	4/49	0.001268588026743401	0.11770190364493775	0	0	8.459342286137254	56.42255080447834	EIF6;THBS1;MT3;SNCA
GO_Biological_Process_2018	snRNA modification (GO:0040031)	2/6	0.001354623195509017	0.12344003869075915	0	0	34.542314335060446	228.12545588318918	DKC1;NHP2
GO_Biological_Process_2018	positive regulation of vesicle fusion (GO:0031340)	2/6	0.001354623195509017	0.1212744239768862	0	0	34.542314335060446	228.12545588318918	ANXA1;ANXA2
GO_Biological_Process_2018	membrane raft assembly (GO:0001765)	2/6	0.001354623195509017	0.11918348563245712	0	0	34.542314335060446	228.12545588318918	ANXA2;FLOT1
GO_Biological_Process_2018	positive regulation of toll-like receptor 3 signaling pathway (GO:0034141)	2/6	0.001354623195509017	0.11716342655394092	0	0	34.542314335060446	228.12545588318918	CAV1;FLOT1
GO_Biological_Process_2018	receptor internalization (GO:0031623)	4/50	0.001368609638449118	0.1164002497500975	0	0	8.290155440414507	54.66495267904313	TFRC;CAV1;CD9;SNCA
GO_Biological_Process_2018	regulation of angiogenesis (GO:0045765)	7/177	0.0016870894228673467	0.1411347102441323	0	0	4.098240683820731	26.166244131330927	SPARC;HSPB6;ANXA3;SERPINE1;HMOX1;HMGA2;THBS1
GO_Biological_Process_2018	negative regulation of supramolecular fiber organization (GO:1902904)	4/54	0.0018239578121963906	0.15012349541351908	0	0	7.6760698522356545	48.411026803882386	LIMA1;STMN2;CRYAB;SNCA
GO_Biological_Process_2018	negative regulation of interleukin-8 secretion (GO:2000483)	2/7	0.0018844377015039052	0.15263945382181635	0	0	29.60769800148039	185.76242203323085	ANXA1;ANXA4
GO_Biological_Process_2018	regulation of toll-like receptor 3 signaling pathway (GO:0034139)	2/7	0.0018844377015039052	0.15025446235585047	0	0	29.60769800148039	185.76242203323085	CAV1;FLOT1
GO_Biological_Process_2018	positive regulation of wound healing (GO:0090303)	3/26	0.0019532000159146294	0.15334122586480545	0	0	11.956954962136312	74.59090734510312	ANXA1;SERPINE1;THBS1
GO_Biological_Process_2018	regulation of muscle contraction (GO:0006937)	3/26	0.0019532000159146294	0.15101787395776295	0	0	11.956954962136312	74.59090734510312	CAV1;TPM1;ENO1
GO_Biological_Process_2018	negative regulation of smooth muscle cell proliferation (GO:0048662)	3/27	0.0021818542538889077	0.16617913817306115	0	0	11.514104778353481	70.55360032857584	NDRG4;TPM1;HMOX1
GO_Biological_Process_2018	negative regulation of cell-matrix adhesion (GO:0001953)	3/27	0.0021818542538889077	0.16373532731757498	0	0	11.514104778353481	70.55360032857584	JAG1;SERPINE1;THBS1
GO_Biological_Process_2018	receptor metabolic process (GO:0043112)	4/58	0.002374862644629202	0.17563658080496838	0	0	7.1466857244952635	43.18610453463148	TFRC;CAV1;CD9;SNCA
GO_Biological_Process_2018	positive regulation of sprouting angiogenesis (GO:1903672)	3/28	0.002426451791410128	0.1768883355937983	0	0	11.102886750555143	66.85409241515218	ANXA1;RHOJ;HMOX1
GO_Biological_Process_2018	response to magnesium ion (GO:0032026)	2/8	0.0024966504284859555	0.1794423540361103	0	0	25.906735751295336	155.25402264472748	THBS1;SNCA
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	2/8	0.0024966504284859555	0.1769500991189421	0	0	25.906735751295336	155.25402264472748	HMOX1;MT3
GO_Biological_Process_2018	negative regulation of exocytosis (GO:0045920)	2/8	0.0024966504284859555	0.17452612515840865	0	0	25.906735751295336	155.25402264472748	ANXA1;SNCA
GO_Biological_Process_2018	rRNA pseudouridine synthesis (GO:0031118)	2/8	0.0024966504284859555	0.17216766400761935	0	0	25.906735751295336	155.25402264472748	DKC1;NHP2
GO_Biological_Process_2018	cortical cytoskeleton organization (GO:0030865)	3/29	0.002687358718915898	0.1828478872350377	0	0	10.720028586742897	63.45395522546975	NCKAP1;RHOJ;RHOBTB3
GO_Biological_Process_2018	regulation of T cell proliferation (GO:0042129)	4/62	0.0030306739678962425	0.20349380602861214	0	0	6.685609226140731	38.76964902253842	LGALS3;ANXA1;TFRC;SDC4
GO_Biological_Process_2018	positive regulation of coagulation (GO:0050820)	2/9	0.0031896383948003077	0.2113860354372204	0	0	23.028209556706962	132.36264189919672	SERPINE1;THBS1
GO_Biological_Process_2018	Cdc42 protein signal transduction (GO:0032488)	2/9	0.0031896383948003077	0.20867595805982012	0	0	23.028209556706962	132.36264189919672	RHOJ;RHOBTB3
GO_Biological_Process_2018	negative regulation of fibrinolysis (GO:0051918)	2/9	0.0031896383948003077	0.20603449023627807	0	0	23.028209556706962	132.36264189919672	SERPINE1;THBS1
GO_Biological_Process_2018	positive regulation of hemostasis (GO:1900048)	2/9	0.0031896383948003077	0.20345905910832465	0	0	23.028209556706962	132.36264189919672	SERPINE1;THBS1
GO_Biological_Process_2018	negative regulation of microtubule polymerization (GO:0031115)	2/9	0.0031896383948003077	0.2009472188724194	0	0	23.028209556706962	132.36264189919672	STMN2;SNCA
GO_Biological_Process_2018	ribosomal large subunit biogenesis (GO:0042273)	4/63	0.0032120898232466145	0.1998938337564326	0	0	6.579488444773418	37.771747797630894	NOP16;EIF6;NHP2;RRP15
GO_Biological_Process_2018	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	3/31	0.003259490420194806	0.20039975438860352	0	0	10.028413839211098	57.424546969533566	GPX1;SERPINE1;HMOX1
GO_Biological_Process_2018	negative regulation of cell adhesion (GO:0007162)	4/65	0.003596854347288643	0.21850890159778505	0	0	6.377042646472697	35.88805489306669	JAG1;ARHGDIA;SERPINE1;ARHGDIB
GO_Biological_Process_2018	carboxylic acid metabolic process (GO:0019752)	3/33	0.003900883680048661	0.2341906990504508	0	0	9.420631182289213	52.25202229755153	PON3;GSTO1;PLA2G4A
GO_Biological_Process_2018	negative regulation of multi-organism process (GO:0043901)	3/33	0.003900883680048661	0.2314675513870735	0	0	9.420631182289213	52.25202229755153	ANXA2;ARHGDIB;TIMP1
GO_Biological_Process_2018	membrane raft organization (GO:0031579)	2/10	0.003961801971922815	0.2323801777324382	0	0	20.72538860103627	114.63329147775652	ANXA2;FLOT1
GO_Biological_Process_2018	regulation of platelet-derived growth factor receptor signaling pathway (GO:0010640)	2/10	0.003961801971922815	0.2297394938945696	0	0	20.72538860103627	114.63329147775652	NDRG4;SNCA
GO_Biological_Process_2018	negative regulation of reproductive process (GO:2000242)	2/10	0.003961801971922815	0.22715815126654074	0	0	20.72538860103627	114.63329147775652	ARHGDIB;TIMP1
GO_Biological_Process_2018	UV protection (GO:0009650)	2/10	0.003961801971922815	0.2246341718080236	0	0	20.72538860103627	114.63329147775652	MFAP4;GPX1
GO_Biological_Process_2018	regulation of T cell apoptotic process (GO:0070232)	2/10	0.003961801971922815	0.22216566442551786	0	0	20.72538860103627	114.63329147775652	LGALS3;PRELID1
GO_Biological_Process_2018	negative regulation of nucleic acid-templated transcription (GO:1903507)	11/444	0.004012560003667701	0.2225662358556117	0	0	2.56733417355179	14.16738650071883	KLF10;CDKN1C;ID2;ID1;ID3;BIRC5;HMGA2;ENO1;SOX9;ASCL1;MT3
GO_Biological_Process_2018	negative regulation of developmental process (GO:0051093)	4/70	0.0046930316214765155	0.2575111867139211	0	0	5.921539600296077	31.74937974349961	ANXA2;ARHGDIB;TIMP1;SOX9
GO_Biological_Process_2018	regulation of trophoblast cell migration (GO:1901163)	2/11	0.0048115645952870175	0.26120653329520904	0	0	18.841262364578427	100.55078602112074	ARHGDIB;TIMP1
GO_Biological_Process_2018	positive regulation of heterotypic cell-cell adhesion (GO:0034116)	2/11	0.0048115645952870175	0.25845699083947	0	0	18.841262364578427	100.55078602112074	FLOT1;CD44
GO_Biological_Process_2018	L-serine metabolic process (GO:0006563)	2/11	0.0048115645952870175	0.2557647305182255	0	0	18.841262364578427	100.55078602112074	PSAT1;PHGDH
GO_Biological_Process_2018	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)	2/11	0.0048115645952870175	0.25312798071906856	0	0	18.841262364578427	100.55078602112074	HMOX1;THBS1
GO_Biological_Process_2018	organelle membrane fusion (GO:0090174)	4/71	0.0049363416139562005	0.2570423597552908	0	0	5.838137634094723	31.00711252199807	SNAP25;SYT4;CAV2;SYT11
GO_Biological_Process_2018	negative regulation of blood coagulation (GO:0030195)	3/36	0.004998049565588097	0.2576267366989501	0	0	8.635578583765112	45.75740526367959	SERPINE1;PLAUR;TFPI
GO_Biological_Process_2018	response to metal ion (GO:0010038)	4/72	0.005187976649947865	0.26474244844683953	0	0	5.7570523891767404	30.29022172319589	CAV1;THBS1;MT3;SNCA
GO_Biological_Process_2018	epithelial to mesenchymal transition (GO:0001837)	3/37	0.005400875344768638	0.27287788994410256	0	0	8.402184567987678	43.869437650181396	HMGA2;S100A4;SOX9
GO_Biological_Process_2018	regulation of regulated secretory pathway (GO:1903305)	3/37	0.005400875344768638	0.27020261651327804	0	0	8.402184567987678	43.869437650181396	SYT4;RAB3A;SYT11
GO_Biological_Process_2018	positive regulation of receptor activity (GO:2000273)	3/37	0.005400875344768638	0.2675792901393627	0	0	8.402184567987678	43.869437650181396	ANXA2;GSTO1;SOX9
GO_Biological_Process_2018	positive regulation of smooth muscle cell proliferation (GO:0048661)	3/37	0.005400875344768638	0.2650064123495611	0	0	8.402184567987678	43.869437650181396	ID2;HMOX1;THBS1
GO_Biological_Process_2018	response to steroid hormone (GO:0048545)	3/37	0.005400875344768638	0.2624825417557558	0	0	8.402184567987678	43.869437650181396	CAV1;TFPI;THBS1
GO_Biological_Process_2018	positive regulation of epithelial cell migration (GO:0010634)	4/74	0.005716721559611721	0.27521160489338314	0	0	5.601456378658451	28.927936097577128	SPARC;ANXA3;SOX9;THBS1
GO_Biological_Process_2018	negative regulation of oxidoreductase activity (GO:0051354)	2/12	0.005737372473794675	0.2736244087268619	0	0	17.271157167530223	89.13219223889622	MT3;SNCA
GO_Biological_Process_2018	serine family amino acid biosynthetic process (GO:0009070)	2/12	0.005737372473794675	0.27109084938679834	0	0	17.271157167530223	89.13219223889622	PSAT1;PHGDH
GO_Biological_Process_2018	regulation of mononuclear cell migration (GO:0071675)	2/12	0.005737372473794675	0.2686037773740754	0	0	17.271157167530223	89.13219223889622	LGALS3;THBS1
GO_Biological_Process_2018	regulation of hormone secretion (GO:0046883)	2/12	0.005737372473794675	0.2661619248524929	0	0	17.271157167530223	89.13219223889622	ANXA1;SCG5
GO_Biological_Process_2018	negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037)	2/12	0.005737372473794675	0.26376406967364163	0	0	17.271157167530223	89.13219223889622	SHISA2;THBS1
GO_Biological_Process_2018	regulation of actin cytoskeleton organization (GO:0032956)	4/75	0.0059940769597273715	0.2731051314775784	0	0	5.526770293609672	28.28039223880843	ARHGDIA;ARHGDIB;RHOJ;RHOBTB3
GO_Biological_Process_2018	negative regulation of protein catabolic process (GO:0042177)	3/39	0.006263653644543095	0.2828621641425081	0	0	7.971303308090872	40.43835484128416	TIMP1;SNCA;MAD2L1
GO_Biological_Process_2018	vesicle-mediated transport (GO:0016192)	10/410	0.006650801549915379	0.2977108799054227	0	0	2.5274864147605207	12.670334633529967	SYT4;SNAP25;ANXA2;CAV2;SYT11;RHOJ;DNER;RHOBTB3;SNX10;GPRASP1
GO_Biological_Process_2018	negative regulation of transport (GO:0051051)	3/40	0.006724053237359607	0.29837255365431364	0	0	7.772020725388599	38.87614621207605	LGALS3;CRYAB;SNCA
GO_Biological_Process_2018	negative regulation of cytokine secretion (GO:0050710)	3/40	0.006724053237359607	0.2958003764676385	0	0	7.772020725388599	38.87614621207605	ANXA1;SYT11;ANXA4
GO_Biological_Process_2018	regulation of intracellular transport (GO:0032386)	3/40	0.006724053237359607	0.2932721681217613	0	0	7.772020725388599	38.87614621207605	INPP5F;GAS1;CRYAB
GO_Biological_Process_2018	negative regulation of hemostasis (GO:1900047)	2/13	0.006737694301565271	0.2913767289905727	0	0	15.942606616181743	79.7136309978565	SERPINE1;TFPI
GO_Biological_Process_2018	cellular response to exogenous dsRNA (GO:0071360)	2/13	0.006737694301565271	0.28892818504947543	0	0	15.942606616181743	79.7136309978565	CAV1;FLOT1
GO_Biological_Process_2018	neuron fate commitment (GO:0048663)	2/13	0.006737694301565271	0.28652045017406313	0	0	15.942606616181743	79.7136309978565	ID2;ASCL1
GO_Biological_Process_2018	regulation of fibrinolysis (GO:0051917)	2/13	0.006737694301565271	0.28415251256931884	0	0	15.942606616181743	79.7136309978565	SERPINE1;THBS1
GO_Biological_Process_2018	regulation of leukocyte migration (GO:0002685)	2/13	0.006737694301565271	0.28182339361383263	0	0	15.942606616181743	79.7136309978565	ANXA1;HMOX1
GO_Biological_Process_2018	regulation of endothelial cell proliferation (GO:0001936)	4/79	0.007192832584658937	0.2984148347928013	0	0	5.246933823047156	25.891888099307245	SPARC;CAV2;CAV1;THBS1
GO_Biological_Process_2018	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	4/79	0.007192832584658937	0.29600826354447224	0	0	5.246933823047156	25.891888099307245	CDKN1C;CAV1;STUB1;THBS1
GO_Biological_Process_2018	mesenchymal cell differentiation (GO:0048762)	3/41	0.007204071287790761	0.29409900625277	0	0	7.582459244281561	37.40509760747796	HMGA2;S100A4;SOX9
GO_Biological_Process_2018	regulation of cellular metabolic process (GO:0031323)	3/41	0.007204071287790761	0.29176488715552584	0	0	7.582459244281561	37.40509760747796	EIF6;FLOT1;STUB1
GO_Biological_Process_2018	regulation of fatty acid metabolic process (GO:0019217)	2/14	0.007811020972733794	0.31385543325874443	0	0	14.803849000740195	71.83152623733724	EIF6;CAV1
GO_Biological_Process_2018	generation of neurons (GO:0048699)	5/130	0.008613809471958828	0.34340835730785857	0	0	3.985651654045436	18.949336831452772	ID2;ID1;DNER;ID3;ASCL1
GO_Biological_Process_2018	cytokine-mediated signaling pathway (GO:0019221)	13/633	0.008645068220249855	0.3419828149452326	0	0	2.1281994614018283	10.110578214043226	IFITM2;ANXA1;ANXA2;TNFRSF12A;GSTO1;MT3;CNN2;IL1RL1;HMOX1;BIRC5;VIM;TIMP1;CD44
GO_Biological_Process_2018	regulation of neuron differentiation (GO:0045664)	4/84	0.008900798911443212	0.3493905911161132	0	0	4.934616333580063	23.29935475421668	ID2;ID1;ID3;ASCL1
GO_Biological_Process_2018	pseudouridine synthesis (GO:0001522)	2/15	0.008955865305073064	0.3488685545938004	0	0	13.816925734024176	65.15297575114056	DKC1;NHP2
GO_Biological_Process_2018	negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	2/15	0.008955865305073064	0.3462256109983928	0	0	13.816925734024176	65.15297575114056	NDRG4;SNCA
GO_Biological_Process_2018	lipoxygenase pathway (GO:0019372)	2/15	0.008955865305073064	0.3436224109156981	0	0	13.816925734024176	65.15297575114056	PON3;GPX1
GO_Biological_Process_2018	negative regulation of coagulation (GO:0050819)	2/15	0.008955865305073064	0.34105806456558097	0	0	13.816925734024176	65.15297575114056	SERPINE1;TFPI
GO_Biological_Process_2018	negative regulation of release of cytochrome c from mitochondria (GO:0090201)	2/15	0.008955865305073064	0.33853170853176184	0	0	13.816925734024176	65.15297575114056	PRELID1;GPX1
GO_Biological_Process_2018	negative regulation of cellular component movement (GO:0051271)	2/15	0.008955865305073064	0.3360425047925577	0	0	13.816925734024176	65.15297575114056	ACTN1;CD9
GO_Biological_Process_2018	regulation of mitotic sister chromatid separation (GO:0010965)	2/15	0.008955865305073064	0.3335896397940719	0	0	13.816925734024176	65.15297575114056	UBE2C;TACC3
